,day,time,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
54,2018-01-18,14:30:00,7.68,7.68,7.67,7.65,363.6,-0.01,-0.13,7.68,7.691,7.6805,317.96,320.32,304.58,0.02
55,2018-01-18,14:25:00,7.67,7.68,7.68,7.66,300.0,0.01,0.13,7.686,7.694,7.681,280.92,323.56,300.2,0.01
56,2018-01-18,14:20:00,7.69,7.69,7.67,7.66,617.2,-0.02,-0.26,7.688,7.694,7.6815,254.12,313.16,298.6,0.03
57,2018-01-18,14:15:00,7.69,7.7,7.69,7.69,89.4,0.0,0.0,7.694,7.694,7.682,189.28,260.04,289.49,0.0
58,2018-01-18,14:10:00,7.7,7.71,7.69,7.69,219.6,-0.01,-0.13,7.696,7.692,7.683,191.12,265.7,314.77,0.01
59,2018-01-18,14:05:00,7.69,7.7,7.7,7.69,178.4,0.01,0.13,7.702,7.689,7.6845,322.68,258.44,319.42,0.01
60,2018-01-18,14:00:00,7.7,7.7,7.69,7.69,166.0,-0.01,-0.13,7.702,7.687,7.6865,366.2,259.24,325.65,0.01
61,2018-01-18,13:55:00,7.7,7.71,7.7,7.69,293.0,0.0,0.0,7.7,7.685,7.6895,372.2,245.84,341.4,0.01
62,2018-01-18,13:50:00,7.72,7.72,7.7,7.7,98.6,-0.02,-0.26,7.694,7.681,7.6925,330.8,247.74,353.65,0.0
63,2018-01-18,13:45:00,7.71,7.73,7.72,7.71,877.4,0.01,0.13,7.688,7.677,7.6945,340.28,266.58,385.37,0.04
64,2018-01-18,13:40:00,7.68,7.7,7.7,7.68,396.0,0.02,0.26,7.676,7.67,7.695,194.2,288.84,394.17,0.02
65,2018-01-18,13:35:00,7.67,7.68,7.68,7.66,196.0,0.01,0.13,7.672,7.668,7.697,152.28,276.84,502.92,0.01
66,2018-01-18,13:30:00,7.67,7.68,7.67,7.66,86.0,0.0,0.0,7.67,7.669,7.697,119.48,284.04,550.11,0.0
67,2018-01-18,13:25:00,7.66,7.68,7.67,7.66,146.0,0.01,0.13,7.668,7.67,7.6985,164.68,318.94,563.71,0.01
68,2018-01-18,13:20:00,7.68,7.68,7.66,7.66,147.0,-0.02,-0.26,7.666,7.674,7.699,192.88,363.84,578.06,0.01
